Title,Region,Suburb,BodyStyle,Year,Odometer,Fuel,Transmission,EngineSize,Cylinders,Seats,ExteriorColour,Model,ModelDetail,Make,Price,LogPrice
2019 Toyota Hiace Jumbo 2.8TD,Canterbury,Christchurch,Van,2019,180443,Diesel,Automatic,2800.0,0,5,White,Hiace,Jumbo 2.8TD,Toyota,38990,10.571060481976643
2020 Toyota Corolla WXB HYBRID,Canterbury,Christchurch,Station Wagon,2020,25019,Hybrid,Tiptronic,1800.0,0,5,Black,Corolla,WXB HYBRID,Toyota,29990,10.308619271743055
2024 Toyota Land Cruiser 70 LX 2.8 Diesel Turbo...,Auckland,Auckland,Ute,2024,3800,Diesel,Automatic,2755.0,0,5,Gray Metallic,Land Cruiser,70 LX 2.8 Diesel Turbo 4WD,Toyota,99990,11.512825459969894
2023 Toyota Prius 2.0 Hybrid Z 2WD,Auckland,Auckland,Hatchback,2023,23,Hybrid,Automatic,1987.0,0,5,Gold,Prius,2.0 Hybrid Z 2WD,Toyota,55990,10.932928382342938
2024 Toyota Hilux SR 4x4 Double Cab Wellside 2....,Auckland,Auckland,Ute,2024,5000,Hybrid,Automatic,2755.0,0,5,White,Hilux,SR 4x4 Double Cab Wellside 2.8DT Auto,Toyota,57990,10.968025860870487
2024 Toyota Camry SX 2.5Petrol Hybrid.,Auckland,Auckland,Sedan,2024,6000,Hybrid,Tiptronic,2487.0,0,5,White,Camry,SX 2.5Petrol Hybrid.,Toyota,52990,10.877858495486807
2012 Toyota Prius ALPHA G 7 Seater,Auckland,Auckland,Station Wagon,2012,111986,Hybrid,Automatic,1797.0,0,7,White,Prius,ALPHA G 7 Seater,Toyota,12949,9.46877384406884
2012 Toyota Prius G Model with TRD Full Body Ki...,Auckland,Auckland,Hatchback,2012,76210,Hybrid,Automatic,1800.0,0,5,Silver,Prius,G Model with TRD Full Body Kit and Half Leather,Toyota,12449,9.429395577381786
2020 Toyota Corolla Touring Hybrid,Bay of Plenty,Tauranga,Station Wagon,2020,136030,Hybrid,Automatic,1797.0,0,5,Black,Corolla,Touring Hybrid,Toyota,16984,9.740027003383092
2016 Toyota Prius Hybrid,Auckland,Auckland,Hatchback,2016,135255,Hybrid,Automatic,1797.0,0,5,Silver,Prius,Hybrid,Toyota,12984,9.471473109194427
2012 Toyota Prius Hybrid,Bay of Plenty,Tauranga,Hatchback,2012,86478,Hybrid,Automatic,1797.0,0,5,Silver,Prius,Hybrid,Toyota,8984,9.10320049641828
2012 Toyota Prius Hybrid,Bay of Plenty,Tauranga,Hatchback,2012,111550,Hybrid,Automatic,1797.0,0,5,Silver,Prius,Hybrid,Toyota,7984,8.9851948179913
2012 Toyota Aqua S,Auckland,Auckland,Hatchback,2012,111569,Petrol,Automatic,1490.0,0,5,Red,Aqua,S,Toyota,7489,8.921190556249368
2019 Toyota Corolla Touring Hybrid,Auckland,Auckland,Station Wagon,2019,98437,Hybrid,Automatic,1797.0,0,5,White,Corolla,Touring Hybrid,Toyota,16984,9.740027003383092
2019 Toyota Hiace Chiller Van 2.8TD,Canterbury,Christchurch,Van,2019,130390,Diesel,Automatic,2800.0,0,3,White,Hiace,Chiller Van 2.8TD,Toyota,40990,10.621083413498383
2024 Toyota Land Cruiser Prado Adventure SUV 4W...,Auckland,Auckland,RV/SUV,2024,5000,Hybrid,Automatic,2755.0,0,7,Sand,Land Cruiser Prado,Adventure SUV 4WD 2.8TD Auto 7 Seater,Toyota,115990,11.661259259475921
2019 Toyota Corolla Hybrid G-MODEL SPORT HATCHBACK,Auckland,Auckland,Hatchback,2019,79000,Hybrid,Automatic,1800.0,0,5,Blue,Corolla,Hybrid G-MODEL SPORT HATCHBACK,Toyota,21490,9.975342989636555
2022 Toyota Hiace 10 Seater GL,Canterbury,Christchurch,Van,2022,80664,Petrol,Automatic,2700.0,0,10,Silver,Hiace,10 Seater GL,Toyota,45990,10.73617926053397
2023 Toyota RAV4 GX 2.5 Ltr Hybrid 4WD,Auckland,Auckland,RV/SUV,2023,55690,Hybrid,Automatic,2487.0,0,5,Blue,RAV4,GX 2.5 Ltr Hybrid 4WD,Toyota,39990,10.596384701840863
2017 Toyota C-HR Hybrid S,Canterbury,,RV/SUV,2017,68000,Petrol,Automatic,1800.0,0,5,Silver,C-HR,Hybrid S,Toyota,22990,10.042814617757227
"2017 Toyota Aqua Cross,G leather, Super low ks...",Auckland,Auckland,Hatchback,2017,21088,Hybrid,Automatic,1500.0,0,5,Grey,Aqua,"Cross,G leather, Super low ks as new",Toyota,17990,9.79757132694458
2019 Toyota C-HR 1.8L Hybrid G 2WD SUV,Auckland,Auckland,RV/SUV,2019,72231,Hybrid,Automatic,1798.0,0,5,White,C-HR,1.8L Hybrid G 2WD SUV,Toyota,32990,10.403959764222627
"2014 Toyota Prius S MODEL, REVERSING CAMERA",Auckland,Auckland,Hatchback,2014,68800,Hybrid,Automatic,1800.0,0,5,Wine Red,Prius,"S MODEL, REVERSING CAMERA",Toyota,12995,9.47231994707559
2021 Toyota Yaris Cross 1.5 Hybrid Z 5 Dr SUV,Auckland,Manuaku City,Hatchback,2021,44130,Hybrid,Automatic,1490.0,0,5,Red,Yaris,Cross 1.5 Hybrid Z 5 Dr SUV,Toyota,34888,10.459898209522603
2020 Toyota Yaris 1.5L Hybrid Z 2WD,Auckland,Auckland,Hatchback,2020,69565,Hybrid,Automatic,1490.0,0,5,Green,Yaris,1.5L Hybrid Z 2WD,Toyota,24350,10.100287128510736
2020 Toyota Corolla Sport 1.8L Hybrid G 2WD Hat...,Auckland,Auckland,Hatchback,2020,49402,Hybrid,Automatic,1798.0,0,0,White,Corolla,Sport 1.8L Hybrid G 2WD Hatchback,Toyota,30350,10.320551796487644
2023 Toyota Yaris Cross Limited 1.5P Hybrid SUV...,Auckland,Pukekohe,RV/SUV,2023,29358,Hybrid,Automatic,1490.0,0,5,Arctic Dawn,Yaris,Cross Limited 1.5P Hybrid SUV - NZ NEW,Toyota,34490,10.448424705930886
2013 Toyota Aqua Welcab - Swing Out Seat,Waikato,Hamilton,Hatchback,2013,71000,Hybrid,Automatic,1500.0,0,5,Blue,Aqua,Welcab - Swing Out Seat,Toyota,14985,9.614804979750764
2016 Toyota Aqua X-URBAN,Canterbury,Christchurch,Hatchback,2016,34000,Hybrid,Automatic,1500.0,0,0,Red,Aqua,X-URBAN,Toyota,16990,9.740380214665977
2018 Toyota Hiace 4WD 2.8 Turbo Diesel 5 Doors,Wellington,Wellington,Van,2018,100415,Diesel,Automatic,2754.0,0,3,White,Hiace,4WD 2.8 Turbo Diesel 5 Doors,Toyota,31949,10.371896160411321
2019 Toyota Corolla Touring Hybrid,Auckland,,Station Wagon,2019,98844,Hybrid,Automatic,1797.0,0,5,Blue,Corolla,Touring Hybrid,Toyota,16984,9.740027003383092
2014 Toyota Corolla Fielder Hybrid G/ Push Star...,Auckland,Auckland,Station Wagon,2014,78205,Hybrid,Automatic,1500.0,0,5,Blue,Corolla,Fielder Hybrid G/ Push Start/ Reverse Camera,Toyota,13949,9.543163100092235
2015 Toyota Vitz 1.3F Smart Style/ Push Start/...,Auckland,Auckland,Hatchback,2015,59359,Petrol,Automatic,1300.0,0,5,White,Vitz,1.3F Smart Style/ Push Start/ Nice Interior,Toyota,11949,9.388402871849754
2016 Toyota Prius S Touring Selection/ Alloy Wh...,Auckland,Auckland,Sedan,2016,77323,Hybrid,Automatic,1800.0,0,5,Red,Prius,S Touring Selection/ Alloy Wheels/ Cruise Control/ Reverse Camera,Toyota,18949,9.849506438669614
2015 Toyota Aqua S Model/ Push Start/ Reverse C...,Auckland,Auckland,Hatchback,2015,58246,Hybrid,Automatic,1500.0,0,5,Red,Aqua,S Model/ Push Start/ Reverse Camera/ Facelift/ Low KMS,Toyota,12949,9.46877384406884
2015 Toyota Prius G Model/ Reverse Camera/ Crui...,Auckland,Auckland,Hatchback,2015,95418,Hybrid,Automatic,1800.0,0,5,White,Prius,G Model/ Reverse Camera/ Cruise Control,Toyota,13949,9.543163100092235
2017 Toyota Prius E Model/ Steering Wheel Contr...,Auckland,Auckland,Hatchback,2017,92907,Hybrid,Automatic,1800.0,0,5,Silver,Prius,E Model/ Steering Wheel Controls/ Push Start,Toyota,17949,9.795289682058142
2014 Toyota Aqua S Model/ Push Start,Auckland,Auckland,Hatchback,2014,111310,Hybrid,Automatic,1496.0,0,5,Purple,Aqua,S Model/ Push Start,Toyota,7949,8.980801413573113
2019 Toyota Corolla Sport 1.8 Ltr Hybrid,Auckland,Auckland,Hatchback,2019,76540,Hybrid,Automatic,1797.0,0,5,Orange,Corolla,Sport 1.8 Ltr Hybrid,Toyota,28490,10.257308427491955
"2016 Toyota Prius Nice colour, Camchain, nice n...",Auckland,Auckland,Hatchback,2016,81932,Hybrid,Automatic,1800.0,0,5,White,Prius,"Nice colour, Camchain, nice n tidy",Toyota,16200,9.692766521220475
2014 Toyota Prius G,Auckland,Auckland,Hatchback,2014,113196,Petrol,Automatic,1790.0,0,5,Red,Prius,G,Toyota,10989,9.304650051446924
2016 Toyota Hiace 9 Seat ZL 3.0DT,Canterbury,Christchurch,Van,2016,160704,Diesel,Automatic,3000.0,0,9,Silver,Hiace,9 Seat ZL 3.0DT,Toyota,29990,10.308619271743055
2017 Toyota Hiace ZX TD 3.0DT/4AT,Canterbury,Christchurch,Van,2017,213945,Diesel,Automatic,3000.0,0,2,White,Hiace,ZX TD 3.0DT/4AT,Toyota,29990,10.308619271743055
2022 Toyota Highlander Limited 3.5 Ltr Petrol A...,Auckland,Auckland,RV/SUV,2022,59175,Petrol,Automatic,3456.0,0,7,Silver,Highlander,Limited 3.5 Ltr Petrol AWD 7 Seater,Toyota,53950,10.895812970686281
2023 Toyota RAV4 GX 2.5L Hybrid AWD SUV,Auckland,Auckland,RV/SUV,2023,41808,Hybrid,Automatic,2487.0,0,5,Graphite,RAV4,GX 2.5L Hybrid AWD SUV,Toyota,42800,10.664293381569887
2024 Toyota Camry Zr,Wellington,Upper Hutt City,Sedan,2024,24500,Hybrid,Automatic,2487.0,0,5,Red,Camry,Zr,Toyota,45500,10.725467604939041
2012 Toyota Corolla Fielder,Auckland,Auckland City,Station Wagon,2012,97000,Petrol,Manual,1490.0,0,0,Silver,Corolla,Fielder,Toyota,12690,9.448569560708433
"2023 Toyota Aqua Newshape,Keyless, Low ks, Very...",Auckland,Auckland,Hatchback,2023,32160,Hybrid,Automatic,1500.0,0,5,White,Aqua,"Newshape,Keyless, Low ks, Very Rare",Toyota,23480,10.063904273942033
2012 Toyota Prius 1.8S Hybrid Camchain,Auckland,Auckland,Hatchback,2012,112494,Hybrid,Automatic,1800.0,0,5,Silver,Prius,1.8S Hybrid Camchain,Toyota,8888,9.092457331319466
2013 Toyota Aqua HYBRID,Auckland,Auckland,Hatchback,2013,86302,Hybrid,Automatic,1496.0,0,5,Orange,Aqua,HYBRID,Toyota,7984,8.9851948179913
2023 Toyota RAV4 Gx 2.5Ph 4WD,Auckland,Auckland,RV/SUV,2023,57678,Hybrid,Automatic,2487.0,0,5,Red,RAV4,Gx 2.5Ph 4WD,Toyota,46990,10.757690092096862
"2020 Toyota Aqua Facelift,Push Start, Super low...",Auckland,Auckland,Hatchback,2020,63860,Hybrid,Automatic,1500.0,0,5,Black,Aqua,"Facelift,Push Start, Super low ks as new",Toyota,17490,9.769384568012647
2018 Toyota RAV4 Gx Suv 2.0P/Cvt/Sw/5,Auckland,Auckland,RV/SUV,2018,40030,Petrol,Automatic,1986.0,0,5,Red,RAV4,Gx Suv 2.0P/Cvt/Sw/5,Toyota,28480,10.256957365525912
